x_start,slope,y
107747800776447, 4.88714e-15, -0.404287
27304176570925056, 4.95819e-15, -133.516
71324640712457984, 4.73552e-15, -329.032
99467323685037568, 2.89852e-15, -273.184
143272300710355200, 4.43058e-15, -616.511
143834814295138816, 1.82595e-19, 21.7237
6990147797777383424, 4.68195e-17, -303.776
7017278914590539776, 2.41601e-15, -16928.3
7060799795115327488, 4.47037e-15, -31536
7061190113069432832, 3.15045e-15, -22215.1
7089056137474892800, 3.34904e-15, -23707.4
7132965557887893504, 2.47155e-15, -17591.3
7161115924613719040, 4.58807e-15, -32814.4
7162410480947258368, 2.93572e-17, -164.519
7205476150706136064, 2.26963e-15, -16305.6
7233170658186780672, 3.98784e-15, -28794.3
7277081421917545472, 3.44916e-15, -25043.7
7305229351719469056, 5.95881e-15, -43469.3
7306074442392953856, 5.78903e-15, -42227.9
7349031691658395648, 3.74982e-15, -27488.4
18230571300158767104, 6.3575e-17, -1086.27
18258546157307650048, 2.38265e-15, -43428.3
18301784891894857728, 2.82363e-15, -51599.9
18329932387888160768, 3.60526e-15, -66002.7
18373842488516241408, 3.84864e-15, -70627.2
18402267730488197120, 3.41114e-15, -62679.5
18445900084204888064, 4.58001e-15, -84385.5